30°55.699'E, 20°10.029'S
31°01.325'E, 20°14.449'S
31°01.642'E, 20°14.682'S
31°01.877'E, 20°14.638'S
31°02.074'E, 20°14.427'S
31°02.089'E, 20°14.201'S
30°59.515'E, 20°13.706'S
30°59.776'E, 20°13.960'S
30°59.734'E, 20°14.040'S
30°59.475'E, 20°13.995'S
30°59.800'E, 20°14.188'S
30°59.790'E, 20°14.336'S
30°59.658'E, 20°13.101'S
30°59.811'E, 20°13.090'S
30°59.768'E, 20°13.174'S
30°59.941'E, 20°13.257'S
30°59.859'E, 20°13.353'S
31°00.067'E, 20°13.459'S
31°01.419'E, 20°13.765'S
31°01.497'E, 20°13.613'S
31°01.565'E, 20°13.672'S
31°01.501'E, 20°13.811'S
31°01.609'E, 20°14.076'S
31°01.531'E, 20°14.235'S
30°58.734'E, 20°13.040'S
30°59.039'E, 20°13.040'S
30°59.210'E, 20°12.895'S
30°59.242'E, 20°12.711'S
30°59.376'E, 20°12.576'S
30°59.436'E, 20°12.675'S
31°01.985'E, 20°13.707'S
31°02.298'E, 20°13.591'S
31°02.614'E, 20°13.390'S
31°02.559'E, 20°13.235'S
31°02.556'E, 20°12.969'S
31°02.787'E, 20°13.235'S
31°00.088'E, 20°14.481'S
31°00.099'E, 20°14.692'S
31°00.530'E, 20°14.737'S
31°00.767'E, 20°14.814'S
31°00.889'E, 20°15.074'S
30°57.613'E, 20°12.312'S
31°03.033'E, 20°12.128'S
31°03.063'E, 20°12.316'S
31°03.296'E, 20°12.304'S
31°03.228'E, 20°12.116'S
31°03.361'E, 20°12.304'S
31°03.368'E, 20°12.404'S
31°03.800'E, 20°11.079'S
31°03.420'E, 20°11.101'S
31°03.144'E, 20°11.111'S
31°02.703'E, 20°11.987'S
31°02.891'E, 20°11.599'S
31°03.082'E, 20°11.215'S
31°03.948'E, 20°09.172'S
31°03.581'E, 20°08.970'S
31°03.321'E, 20°08.767'S
31°04.154'E, 20°09.668'S
31°03.965'E, 20°10.003'S
31°03.919'E, 20°10.303'S
31°03.319'E, 20°10.942'S
31°03.663'E, 20°11.025'S
31°04.145'E, 20°10.784'S
31°04.033'E, 20°10.599'S
31°03.856'E, 20°10.372'S
31°03.887'E, 20°10.099'S
31°02.331'E, 20°10.876'S
31°02.288'E, 20°10.744'S
31°02.526'E, 20°10.757'S
31°02.896'E, 20°10.942'S
31°03.036'E, 20°10.850'S
31°03.147'E, 20°10.797'S
31°01.836'E, 20°11.407'S
31°02.033'E, 20°11.395'S
31°02.267'E, 20°11.408'S
31°02.473'E, 20°11.459'S
31°02.627'E, 20°11.484'S
31°02.730'E, 20°11.344'S
31°01.742'E, 20°12.123'S
31°01.526'E, 20°12.086'S
31°01.696'E, 20°12.036'S
31°02.022'E, 20°11.962'S
31°02.070'E, 20°11.825'S
31°02.107'E, 20°11.649'S
31°03.297'E, 20°12.966'S
31°03.268'E, 20°12.742'S
31°03.083'E, 20°12.585'S
31°02.891'E, 20°12.609'S
31°02.897'E, 20°12.404'S
31°02.777'E, 20°12.172'S
31°02.994'E, 20°13.389'S
31°03.238'E, 20°13.414'S
31°03.474'E, 20°13.402'S
31°03.663'E, 20°13.540'S
31°03.392'E, 20°13.633'S
31°03.429'E, 20°13.840'S
31°03.033'E, 20°12.128'S
31°03.063'E, 20°12.316'S
31°03.296'E, 20°12.304'S
31°03.228'E, 20°12.116'S
31°03.361'E, 20°12.304'S
31°03.368'E, 20°12.404'S
31°03.800'E, 20°11.079'S
31°03.420'E, 20°11.101'S
31°03.144'E, 20°11.111'S
31°02.703'E, 20°11.987'S
31°02.891'E, 20°11.599'S
31°03.082'E, 20°11.215'S
31°03.948'E, 20°09.172'S
31°03.581'E, 20°08.970'S
31°03.321'E, 20°08.767'S
31°04.154'E, 20°09.668'S
31°03.965'E, 20°10.003'S
31°03.919'E, 20°10.303'S
31°03.319'E, 20°10.942'S
31°03.663'E, 20°11.025'S
31°04.145'E, 20°10.784'S
31°04.033'E, 20°10.599'S
31°03.856'E, 20°10.372'S
31°03.887'E, 20°10.099'S
31°02.331'E, 20°10.876'S
31°02.288'E, 20°10.744'S
31°02.526'E, 20°10.757'S
31°02.896'E, 20°10.942'S
31°03.036'E, 20°10.850'S
31°03.147'E, 20°10.797'S
31°01.836'E, 20°11.407'S
31°02.033'E, 20°11.395'S
31°02.267'E, 20°11.408'S
31°02.473'E, 20°11.459'S
31°02.627'E, 20°11.484'S
31°02.730'E, 20°11.344'S
31°01.742'E, 20°12.123'S
31°01.526'E, 20°12.086'S
31°01.696'E, 20°12.036'S
31°02.022'E, 20°11.962'S
31°02.070'E, 20°11.825'S
31°02.107'E, 20°11.649'S
31°03.297'E, 20°12.966'S
31°03.268'E, 20°12.742'S
31°03.083'E, 20°12.585'S
31°02.891'E, 20°12.609'S
31°02.897'E, 20°12.404'S
31°02.777'E, 20°12.172'S
31°02.994'E, 20°13.389'S
31°03.238'E, 20°13.414'S
31°03.474'E, 20°13.402'S
31°03.663'E, 20°13.540'S
31°03.390'E, 20°13.683'S
31°03.429'E, 20°13.840'S
30°59.035'E, 20°13.139'S
30°59.232'E, 20°13.062'S
30°59.235'E, 20°12.881'S
30°59.329'E, 20°12.752'S
30°59.478'E, 20°13.190'S
30°59.725'E, 20°13.255'S
31°01.797'E, 20°14.816'S
31°01.902'E, 20°14.769'S
31°01.912'E, 20°14.651'S
31°02.043'E, 20°14.603'S
31°02.085'E, 20°14.436'S
31°02.200'E, 20°14.424'S
31°02.192'E, 20°13.853'S
31°02.125'E, 20°13.741'S
31°02.435'E, 20°13.741'S
31°02.613'E, 20°13.528'S
31°02.656'E, 20°13.377'S
31°02.781'E, 20°13.427'S
31°01.030'E, 20°14.852'S
31°01.208'E, 20°14.638'S
31°01.378'E, 20°14.567'S
31°01.572'E, 20°14.827'S
31°01.509'E, 20°14.978'S
31°01.609'E, 20°14.956'S
31°00.600'E, 20°14.222'S
31°00.858'E, 20°14.162'S
31°01.055'E, 20°14.259'S
31°01.263'E, 20°14.004'S
31°01.398'E, 20°14.089'S
31°01.415'E, 20°13.857'S
31°00.164'E, 20°14.015'S
31°00.400'E, 20°13.881'S
31°00.531'E, 20°13.571'S
31°00.710'E, 20°13.844'S
31°00.517'E, 20°14.101'S
31°00.231'E, 20°13.942'S
30°59.588'E, 20°13.532'S
30°59.988'E, 20°13.570'S
30°59.736'E, 20°13.769'S
30°59.200'E, 20°13.507'S
30°58.695'E, 20°13.594'S
30°59.896'E, 20°13.991'S
31°00.059'E, 20°14.089'S
30°59.803'E, 20°13.707'S
30°59.459'E, 20°13.520'S
31°00.101'E, 20°13.658'S
31°00.456'E, 20°13.508'S
31°00.645'E, 20°13.357'S
30°58.016'E, 20°13.116'S
30°57.628'E, 20°12.918'S
30°57.428'E, 20°13.188'S
30°57.224'E, 20°13.642'S
30°57.035'E, 20°13.742'S
30°58.077'E, 20°12.945'S
30°59.696'E, 20°13.774'S
30°59.470'E, 20°13.532'S
30°59.031'E, 20°13.274'S
30°58.817'E, 20°13.480'S
30°58.669'E, 20°13.736'S
30°58.591'E, 20°13.736'S
31°03.505'E, 20°08.088'S
31°03.473'E, 20°07.948'S
31°03.730'E, 20°07.744'S
31°04.294'E, 20°07.501'S
31°03.145'E, 20°10.762'S
31°03.991'E, 20°10.489'S
31°03.691'E, 20°09.019'S
31°03.335'E, 20°08.766'S
31°03.171'E, 20°08.718'S
31°02.887'E, 20°08.862'S
31°02.529'E, 20°09.006'S
31°02.522'E, 20°08.717'S
31°02.911'E, 20°12.552'S
31°02.936'E, 20°12.266'S
31°02.875'E, 20°12.166'S
31°02.671'E, 20°12.065'S
31°02.292'E, 20°12.153'S
31°01.852'E, 20°12.102'S
31°04.335'E, 20°12.242'S
31°04.316'E, 20°11.810'S
31°03.396'E, 20°12.846'S
31°03.690'E, 20°12.822'S
31°03.837'E, 20°12.712'S
31°03.597'E, 20°12.675'S
31°02.149'E, 20°11.525'S
31°02.543'E, 20°11.577'S
31°02.762'E, 20°11.368'S
31°02.670'E, 20°10.957'S
31°02.499'E, 20°10.863'S
31°02.914'E, 20°11.197'S
31°03.758'E, 20°11.057'S
31°04.090'E, 20°10.919'S
31°04.075'E, 20°10.564'S
31°03.952'E, 20°10.177'S
31°03.997'E, 20°09.897'S
31°04.109'E, 20°09.480'S
31°03.356'E, 20°12.626'S
31°03.602'E, 20°12.810'S
31°03.952'E, 20°12.895'S
31°03.928'E, 20°12.700'S
31°03.888'E, 20°12.528'S
31°03.873'E, 20°12.367'S
31°04.006'E, 20°12.491'S
31°04.017'E, 20°12.700'S
31°04.083'E, 20°12.846'S
31°04.229'E, 20°13.100'S
31°04.035'E, 20°12.979'S
31°03.700'E, 20°12.870'S
31°04.302'E, 20°11.823'S
31°04.301'E, 20°11.658'S
31°04.540'E, 20°11.631'S
31°04.712'E, 20°11.474'S
31°04.382'E, 20°12.141'S
31°04.549'E, 20°12.305'S
31°03.506'E, 20°12.466'S
31°03.692'E, 20°12.590'S
31°03.816'E, 20°12.454'S
31°03.754'E, 20°12.217'S
31°03.940'E, 20°12.342'S
31°04.258'E, 20°12.229'S
31° 0.830'E, 20° 14.964'S  
31° 0.810'E, 20° 14.725'S  
31° 0.661'E, 20° 14.654'S  
31° 0.257'E, 20° 14.641'S  
31° 0.245'E, 20° 14.397'S  
31° 0.088'E, 20° 14.225'S  
31° 3.196'E, 20° 13.708'S  
31° 2.888'E, 20° 13.766'S  
31° 2.835'E, 20° 13.973'S  
31° 2.913'E, 20° 14.100'S  
31° 2.800'E, 20° 14.133'S  
31° 2.747'E, 20° 14.247'S  
31° 1.985'E, 20° 13.707'S  
31° 2.298'E, 20° 13.591'S  
31° 2.614'E, 20° 13.390'S  
31° 2.559'E, 20° 13.235'S  
31° 2.556'E, 20° 12.969'S  
31° 2.787'E, 20° 13.235'S  
31° 1.419'E, 20° 13.765'S  
31° 1.497'E, 20° 13.613'S  
31° 1.565'E, 20° 13.672'S  
31° 1.500'E, 20° 13.811'S  
31° 1.609'E, 20° 14.076'S  
31° 1.531'E, 20° 14.235'S  
30° 59.658'E, 20° 13.101'S  
30° 59.811'E, 20° 13.090'S  
30° 59.768'E, 20° 13.174'S  
30° 59.941'E, 20° 13.257'S  
30° 59.859'E, 20° 13.353'S  
31° 0.067'E, 20° 13.459'S  
31° 1.245'E, 20° 15.387'S  
31° 1.100'E, 20° 15.340'S  
31° 0.990'E, 20° 15.317'S  
31° 0.890'E, 20° 15.011'S  
31° 1.107'E, 20° 15.259'S  
31° 1.268'E, 20° 15.287'S  
31° 0.387'E, 20° 13.377'S  
31° 0.715'E, 20° 13.210'S  
31° 0.722'E, 20° 13.126'S  
31° 1.035'E, 20° 13.174'S  
31° 1.206'E, 20° 13.223'S  
31° 0.961'E, 20° 13.294'S  
31° 1.921'E, 20° 14.781'S  
31° 1.855'E, 20° 14.923'S  
31° 1.643'E, 20° 15.086'S  
31° 1.659'E, 20° 15.246'S  
31° 1.454'E, 20° 15.035'S  
31° 1.260'E, 20° 15.094'S  
31° 1.270'E, 20° 14.269'S  
31° 1.325'E, 20° 14.449'S  
31° 1.647'E, 20° 14.682'S  
31° 1.877'E, 20° 14.638'S  
31° 2.074'E, 20° 14.427'S  
31° 2.089'E, 20° 14.201'S  
31° 3.738'E, 20° 13.378'S  
31° 3.735'E, 20° 13.707'S  
31° 3.545'E, 20° 13.567'S  
31° 3.464'E, 20° 13.754'S  
31° 3.577'E, 20° 13.985'S  
31° 3.696'E, 20° 14.168'S  
30° 56.986'E, 20° 12.357'S  
30° 56.876'E, 20° 12.411'S  
30° 56.681'E, 20° 12.487'S  
30° 56.785'E, 20° 12.616'S  
30° 56.989'E, 20° 12.594'S  
30° 57.203'E, 20° 12.627'S  
30° 58.734'E, 20° 13.040'S  
30° 59.039'E, 20° 13.040'S  
30° 59.210'E, 20° 12.895'S  
30° 59.242'E, 20° 12.711'S  
30° 59.376'E, 20° 12.576'S  
30° 59.436'E, 20° 12.675'S  
30° 58.040'E, 20° 12.388'S  
30° 58.116'E, 20° 12.500'S  
30° 57.910'E, 20° 12.500'S  
30° 57.845'E, 20° 12.599'S  
30° 58.050'E, 20° 12.772'S  
30° 58.202'E, 20° 12.857'S 
31° 3.494'E, 20° 8.952'S  
31° 3.515'E, 20° 8.213'S  
31° 3.437'E, 20° 8.032'S  
31° 3.793'E, 20° 7.826'S  
31° 3.669'E, 20° 9.057'S  
31° 3.987'E, 20° 9.192'S  
31° 3.928'E, 20° 10.068'S  
31° 4.013'E, 20° 10.507'S  
31° 4.149'E, 20° 10.706'S  
31° 4.090'E, 20° 10.976'S  
31° 3.858'E, 20° 11.112'S  
31° 3.443'E, 20° 11.074'S  
31° 1.850'E, 20° 8.252'S  
31° 1.934'E, 20° 8.470'S  
31° 2.080'E, 20° 8.487'S  
31° 2.319'E, 20° 8.632'S  
31° 2.541'E, 20° 8.763'S  
31° 2.507'E, 20° 9.045'S  
31° 2.488'E, 20° 13.557'S  
31° 2.642'E, 20° 13.053'S  
31° 3.606'E, 20° 14.296'S  
31° 3.774'E, 20° 14.230'S  
31° 3.571'E, 20° 13.611'S  
31° 2.946'E, 20° 13.836'S  
31° 3.765'E, 20° 12.147'S  
31° 4.351'E, 20° 11.733'S  
31° 4.751'E, 20° 11.526'S  
31° 4.610'E, 20° 12.366'S  
31° 4.009'E, 20° 12.563'S  
31° 2.885'E, 20° 12.670'S  
30° 58.389'E, 20° 13.874'S  
30° 58.502'E, 20° 13.651'S  
30° 58.094'E, 20° 13.491'S  
30° 58.341'E, 20° 13.007'S  
30° 59.381'E, 20° 12.728'S  
30° 57.390'E, 20° 14.264'S  
31° 2.328'E, 20° 10.788'S  
31° 1.547'E, 20° 11.504'S  
31° 1.498'E, 20° 12.132'S  
31° 1.919'E, 20° 12.391'S  
31° 2.652'E, 20° 12.206'S  
31° 3.073'E, 20° 12.151'S  
31° 2.952'E, 20° 14.143'S  
31° 2.003'E, 20° 13.756'S  
31° 1.974'E, 20° 13.791'S  
31° 2.204'E, 20° 14.564'S  
31° 1.696'E, 20° 14.780'S  
31° 1.270'E, 20° 14.364'S  
31° 1.513'E, 20° 14.298'S  
31° 1.517'E, 20° 13.691'S  
31° 1.730'E, 20° 15.413'S  
31° 1.443'E, 20° 15.753'S  
31° 1.295'E, 20° 15.434'S  
31° 0.950'E, 20° 15.356'S  
31° 0.076'E, 20° 14.782'S  
31° 0.007'E, 20° 14.358'S  
31° 0.726'E, 20° 13.198'S  
31° 1.239'E, 20° 13.336'S  
30° 59.453'E, 20° 14.083'S  
30° 59.767'E, 20° 14.387'S  
31° 0.916'E, 20° 14.315'S  
31° 1.407'E, 20° 14.084'S  
31° 2.431'E, 20° 11.943'S  
31° 2.316'E, 20° 14.139'S  
31° 2.899'E, 20° 13.624'S  
31° 3.829'E, 20° 12.770'S  
30° 55.658'E, 20° 11.753'S  
30° 55.861'E, 20° 12.220'S  
30° 56.265'E, 20° 12.150'S  
30° 56.612'E, 20° 12.454'S  
30° 57.208'E, 20° 12.195'S  
30° 57.403'E, 20° 12.766'S  
30° 57.502'E, 20° 13.244'S  
30° 57.222'E, 20° 13.664'S  
30° 57.842'E, 20° 12.643'S  
30° 58.041'E, 20° 13.176'S  
30° 58.510'E, 20° 13.264'S  
30° 58.611'E, 20° 13.746'S  
30° 54.892'E, 20° 8.949'S  
30° 54.727'E, 20° 8.871'S  
30° 55.768'E, 20° 11.817'S  
30° 56.450'E, 20° 12.228'S  
30° 57.226'E, 20° 12.478'S  
30° 55.223'E, 20° 11.374'S  
30° 58.102'E, 20° 12.574'S  
30° 57.972'E, 20° 12.377'S  
30° 57.710'E, 20° 12.454'S  
30° 57.470'E, 20° 12.166'S  
30° 57.749'E, 20° 11.851'S  
30° 57.482'E, 20° 11.790'S  
31° 3.971'E, 20° 10.503'S  
31° 3.914'E, 20° 10.253'S  
31° 4.038'E, 20° 9.875'S  
31° 4.102'E, 20° 9.397'S  
31° 3.825'E, 20° 9.119'S  
31° 3.579'E, 20° 9.014'S  
30° 59.099'E, 20° 13.552'S  
30° 59.451'E, 20° 13.609'S  
30° 59.798'E, 20° 13.573'S  
30° 59.871'E, 20° 14.105'S  
31° 0.345'E, 20° 13.768'S  
31° 0.748'E, 20° 13.498'S  
30° 56.343'E, 20° 13.906'S  
30° 56.653'E, 20° 13.757'S  
30° 57.159'E, 20° 13.607'S  
30° 57.358'E, 20° 12.962'S  
30° 56.726'E, 20° 12.762'S  
30° 56.335'E, 20° 12.679'S  
30° 56.961'E, 20° 11.817'S  
30° 55.611'E, 20° 12.424'S  
30° 55.731'E, 20° 10.925'S  
30° 55.882'E, 20° 10.153'S  
30° 55.577'E, 20° 10.071'S  
30° 55.650'E, 20° 9.634'S  
31° 0.916'E, 20° 14.315'S  
31° 1.407'E, 20° 14.084'S  
31° 2.431'E, 20° 11.943'S  
31° 2.316'E, 20° 14.139'S  
31° 2.899'E, 20° 13.624'S  
31° 3.829'E, 20° 12.770'S
